name,developer,date,platform,total_sales,NA_sales,PAL_sales,japan_sales,other_sales
Petz,PF Magic,01st Jan 95,Series,,,,,
Nintendogs,Nintendo EAD,23rd Aug 05,DS,24.68m,9.05m,10.96m,1.93m,2.74m
Mario Kart DS,Nintendo EAD,14th Nov 05,DS,23.26m,9.71m,7.51m,4.13m,1.91m
Pokémon Gold / Silver Version,Game Freak,14th Oct 00,GB,23.10m,9.00m,6.18m,7.20m,0.71m
God of War (2018),SIE Santa Monica Studio,20th Apr 18,All,,,,,
Terraria,Re-Logic,16th May 11,PC,0.14m,,0.13m,,0.01m
Call of Duty: Modern Warfare 2,Infinity Ward,10th Nov 09,All,,,,,
Wii Fit,Nintendo EAD,21st May 08,Wii,22.70m,8.92m,8.03m,3.60m,2.15m
Luigi's Mansion,Nintendo,18th Nov 01,Series,,,,,
Microsoft Flight Simulator,Sublogic,01st Nov 82,Series,,,,,
SpongeBob SquarePants,Vicarious Visions,15th Mar 01,Series,,,,,
Yu-Gi-Oh!,Konami,20th Mar 02,Series,,,,,
Yakuza,Sega,05th Sep 06,Series,,,,,
Castlevania,Konami,26th Sep 86,Series,,,,,
Teenage Mutant Ninja Turtles,Konami,12th May 89,Series,,,,,
Dynasty Warriors,Omega Force,30th Jun 97,Series,,,,,
Wii Fit Plus,Nintendo EAD,04th Oct 09,Wii,21.81m,9.01m,8.51m,2.53m,1.76m
Imagine,Ubisoft,01st Oct 07,Series,,,,,
Final Fantasy X/X-2,Square,17th Dec 01,All,,,,,
Naruto: Ultimate Ninja Storm,CyberConnect2,04th Nov 08,Series,,,,,
Pokémon Scarlet / Violet,Game Freak,18th Nov 22,NS,,,,,
Super Mario World,Nintendo EAD,13th Aug 91,SNES,20.61m,12.78m,3.75m,3.54m,0.55m
Grand Theft Auto V,Rockstar North,17th Sep 13,PS3,20.32m,6.37m,9.85m,0.99m,3.12m
The Lord of the Rings,Beam Software,01st Nov 82,Series,,,,,
Super Robot Wars,Banpresto,20th Apr 91,Series,,,,,
Cyberpunk 2077,CD Projekt Red Studio,10th Dec 20,All,,,,,
Dying Light,Techland,27th Jan 15,All,,,,,
Fallout 4,Bethesda Game Studios,10th Nov 15,All,,,,,
FIFA 19,EA Vancouver,28th Sep 18,All,,,,,
Frogger,Konami,23rd Oct 81,Series,,,,,
Gundam,Banpresto,02nd May 97,Series,,,,,
Horizon,Guerrilla Games,28th Feb 17,Series,,,,,
Horizon: Zero Dawn,Guerrilla Games,28th Feb 17,All,,,,,
Lemmings,DMA Design,14th Feb 91,Series,,,,,
Marvel's Spider-Man,Insomniac Games,07th Sep 18,PS4,8.76m,3.64m,3.39m,0.32m,1.41m
Monster Hunter: World,Capcom,26th Jan 18,All,,,,,
Prince of Persia,Broderbund,03rd Aug 89,Series,,,,,
Rayman Raving Rabbids,Ubisoft,19th Nov 06,Series,,,,,
SimCity,Maxis,02nd Feb 89,Series,,,,,
Simple,Bandai Namco Studios,30th Nov 02,Series,,,,,
SingStar,London Studios,21st May 04,Series,,,,,
Sniper Elite,Rebellion Developments,18th Oct 05,Series,,,,,
Spyro,Insomniac Games,10th Sep 98,Series,,,,,
Stardew Valley,ConcernedApe,26th Feb 16,Series,,,,,
Stardew Valley,ConcernedApe,26th Feb 16,All,,,,,
Tom Clancy's The Division,Massive Entertainment,08th Mar 16,Series,,,,,
Watch Dogs,Ubisoft,27th May 14,Series,,,,,
God of War (2018),SIE Santa Monica Studio,20th Apr 18,PS4,6.15m,2.83m,2.17m,0.13m,1.02m
Grand Theft Auto V,Rockstar North,18th Nov 14,PS4,19.39m,6.06m,9.71m,0.60m,3.02m
StarCraft,Blizzard Entertainment,31st Mar 98,Series,,,,,
Brain Age: Train Your Brain in Minutes a Day,Nintendo SDD,17th Apr 06,DS,20.16m,4.74m,9.21m,4.16m,2.04m
Call of Duty: Ghosts,Infinity Ward,05th Nov 13,All,,,,,
Driver,Ubisoft Reflections,30th Jun 99,Series,,,,,
WarCraft,Blizzard Entertainment,23rd Nov 94,Series,,,,,
Mario Kart 7,Nintendo EAD / Retro Studios,04th Dec 11,3DS,15.49m,6.03m,5.35m,3.00m,1.11m
Super Mario Party,"Nd Cube Co., Ltd.",05th Oct 18,NS,4.97m,2.12m,1.64m,0.85m,0.36m
Midnight Club,Rockstar San Diego,26th Oct 00,Series,,,,,
Super Mario Land,Nintendo R&D1,01st Aug 89,GB,18.14m,10.83m,2.71m,4.18m,0.42m
Ace Combat,Namco,09th Sep 95,Series,,,,,
Professor Layton,Level-5,10th Feb 08,Series,,,,,
Need for Speed: Most Wanted,EA Canada,15th Nov 05,All,,,,,
Pokémon Diamond / Pearl Version,Game Freak,28th Apr 07,DS,18.25m,6.38m,4.47m,6.04m,1.36m
Elden Ring,From Software,25th Feb 22,All,,,,,
Grand Theft Auto: Vice City,Rockstar North,29th Oct 02,All,,,,,
Grand Theft Auto: San Andreas,Rockstar North,26th Oct 04,PS2,20.81m,9.43m,0.40m,0.41m,10.57m
Super Mario Bros. 3,Nintendo R&D2,12th Feb 90,NES,17.28m,9.54m,3.44m,3.84m,0.46m
RollerCoaster Tycoon,Chris Sawyer Productions,22nd Mar 99,Series,,,,,
Persona,Atlus,01st Nov 96,Series,,,,,
SoulCalibur,Project Soul,20th Dec 96,Series,,,,,
Zuma,Oberon Media,12th Dec 03,Series,,,,,
Zuma,Oberon Media,12th Dec 03,All,,,,,
Garry's Mod,Facepunch Studios,29th Nov 06,PC,,,,,
Pokemon Mystery Dungeon,Chunsoft,18th Sep 06,Series,,,,,
Metroid,Nintendo,15th Aug 87,Series,,,,,
Pokémon X/Y,Game Freak,12th Oct 13,3DS,16.13m,5.68m,5.06m,4.40m,0.99m
Hitman,IO Interactive,21st Nov 00,Series,,,,,
Mario Tennis,Nintendo,14th Aug 95,Series,,,,,
Deus Ex,Ion Storm,17th Jun 00,Series,,,,,
Pokémon Sun/Moon,Game Freak,18th Nov 16,3DS,15.17m,6.02m,4.34m,3.82m,0.99m
Uncharted 4: A Thief's End,Naughty Dog,10th May 16,PS4,10.33m,4.49m,3.93m,0.21m,1.70m
Pokémon Ruby / Sapphire Version,Game Freak,17th Mar 03,GBA,15.85m,6.06m,3.90m,5.38m,0.50m
Grand Theft Auto: Vice City,Rockstar North,28th Oct 02,PS2,16.15m,8.41m,5.49m,0.47m,1.78m
Borderlands 3,Gearbox Software,13th Sep 19,All,,,,,
