name,developer,date,platform,total_sales,NA_sales,PAL_sales,japan_sales,other_sales
Alpha Polaris,Turmoil Games Ltd.,24th Jun 11,PC,,,,,
Alpha Squad,DragonDivide,12th Jan 11,XBL,,,,,
Alpha Zylon,Team 6 Games Studio,19th Dec 07,PC,,,,,
AlphaBounce,Mad Monkey Studio,12th Apr 10,DSiW,,,,,
Alpine Racer 3,Namco,06th Dec 02,PS2,,,,,
Alpine Ski Racing 2007,RTL,30th Nov 06,PC,,,,,
Alshark,Popcorn,26th Nov 93,SCD,,,,,
Alt-Play: Jason Rohrer Anthology,Jason Rohrer,03rd Jan 11,DSiW,,,,,
Altar of Gems,Hotwave Games,08th Jan 09,XBL,,,,,
Altered Beast,Sega,14th Aug 89,GEN,,,,,
Altered Beast,Sega,19th Nov 06,VC,,,,,
Altered Beast,Sega,01st Jan 89,MS,,,,,
Altered Beast,Sega / Backbone Entertainment,10th Jun 09,XBL,,,,,
Altered Beast,Wow Entertainment,,PS2,,,,,
Altered Beast,Sega,01st Jun 10,PC,,,,,
Altered Beast,Sega,06th Sep 11,PSN,,,,,
Altered Beast (Arcade),Sega,28th Sep 09,VC,,,,,
Altered Space: A 3-D Alien Adventure,Software Creations,01st Sep 91,GB,,,,,
Alternate Reality: The City,Paradise Programming,01st Jan 86,PC,,,,,
Altis Gates,IGG.com,01st Feb 10,PC,,,,,
Altitude,Nimbly Games,04th Dec 09,PC,,,,,
Alundra,Matrix Software,12th Oct 10,PSN,,,,,
Alvin and the Chipmunks,Sensory Sweep Studios,04th Dec 07,PC,,,,,
Always Remember Me,Unknown,17th Apr 11,PC,,,,,
Always Remember Me,Unknown,11th Apr 13,And,,,,,
AMA Superbike,Motorsims,,PC,,,,,
Amagon,Aicom,01st Apr 89,NES,,,,,
"Amagoushi no Yakata Portable: Ichiyagi Wa, Saisho no Junan",FOG (Full On Games),17th Sep 09,PSP,,,,,
Amakuchi! Dairoujou,"Kawamoto Industrial Co., Ltd",14th Oct 09,DSiW,,,,,
Amatsumi Sora ni! Kumo no Hatate ni,Prototype,01st Dec 11,PSP,,,,,
Amazing Adventures Around The World,SpinTop Games / PopCap,17th Sep 08,PC,,,,,
Amazing Adventures: The Forgotten Dynasty,PopCap,05th Aug 11,PC,,,,,
Amazing Facts,Danthekilla,24th Aug 10,XBL,,,,,
Amazing Penguin,Natsume,01st Dec 90,GB,,,,,
Amazing Princess Sarah,Haruneko,18th Aug 14,PC,,,,,
Amazing Princess Sarah,Haruneko,09th Jul 14,X360,,,,,
Amazing Tater,Atlus Co.,01st Feb 92,GB,,,,,
Amazing Wizard,XtianP,31st Dec 08,XBL,,,,,
Amazing World,GANZ,07th Aug 14,OSX,,,,,
Amazing World,GANZ,07th Aug 14,PC,,,,,
Amazing Zombie Defense,Desura,31st Dec 11,PC,,,,,
Amber: Journeys Beyond,Hue Forest Entertainment,30th Nov 96,PC,,,,,
America Oudan Ultra-Quiz,Tomy,23rd Dec 90,GB,,,,,
America Oudan Ultra-Quiz,Pegasus Japan,23rd Feb 96,PS,,,,,
America Oudan Ultra-Quiz,DigiCube,28th Mar 02,PS2,,,,,
America Oudan Ultra-Quiz,Tomy,20th Nov 92,SNES,,,,,
America Oudan Ultra-Quiz Part 2,Tomy,20th Dec 91,GB,,,,,
America Oudan Ultra-Quiz Part 3,Tomy,27th Nov 92,GB,,,,,
America Oudan Ultra-Quiz Part 4,Tomy,29th Oct 93,GB,,,,,
America Oudan Ultra-Quiz: Shijou Saidai no Tatakai,Tomy,29th Nov 91,NES,,,,,
America's Army 3,U.S. Army,17th Jun 09,PC,,,,,
America's Army: Rise of a Soldier,Secret Level,,PS2,,,,,
American Chopper,Creat Studio,22nd Dec 04,PC,,,,,
American Civil War: Gettysburg,Cat Daddy Games,28th Apr 05,PC,,,,,
American Conquest: Divided Nation,Unknown,27th Feb 06,PC,,,,,
American Girl: Julie Saves the Eagles,THQ,15th Oct 07,PC,,,,,
American Girl: Kit Mystery Challenge!,THQ,23rd Jun 08,PC,,,,,
American Girl: Mia Goes for Great,THQ,04th Feb 08,PC,,,,,
American Gladiators,Incredible Technologies,01st Oct 91,NES,,,,,
American Gladiators,Incredible Technologies,01st Apr 93,SNES,,,,,
American Gladiators,Incredible Technologies,04th Mar 92,GEN,,,,,
American Gladiators,"Imagitec Design, Inc.",01st Jan 92,PC,,,,,
American Idol,Hothouse Creations,18th Nov 03,PC,,,,,
American McGee presents Bad Day LA,Enlight Software,06th Sep 06,PC,,,,,
American McGee presents ScrapLand,Mercury Steam Entertainment,04th Nov 04,PC,,,,,
American McGee's Alice,Rogue Entertainment,14th Jun 11,PSN,,,,,
American McGee's Alice,Rogue Entertainment,15th Jun 11,XBL,,,,,
American Mensa Academy,Barnstorm Games,13th Nov 12,3DS,,,,,
American Mensa Academy,Barnstorm Games,16th Nov 12,Wii,,,,,
American Mensa Academy,Unknown,01st Jul 14,And,,,,,
American Mensa Academy,Unknown,12th Dec 12,X360,,,,,
American Mensa Academy,Unknown,05th Feb 13,PS3,,,,,
American Mensa Academy,Unknown,27th Jul 12,PC,,,,,
American Pool,DigiCube,06th May 03,PS,,,,,
American Popstar: Road to Celebrity,Gameloft,25th May 09,DSiW,,,,,
Amerzone,Ubisoft,18th Oct 99,PC,,,,,
Amerzone: The Explorer's Legacy,Visual Impact,01st Jan 99,PS,,,,,
Amida,Sofix,23rd Oct 90,GB,,,,,
Amida's Path,Collavier Corporation,14th Aug 14,DS,,,,,
Amidar,Konami,01st Jan 82,2600,,,,,
Amnesia Twin Pack,Unknown,15th Mar 12,PSP,,,,,
Amnesia Twin Pack,Unknown,07th Jun 11,BRW,,,,,
Amnesia: A Machine for Pigs,thechineseroom,10th Sep 13,OSX,,,,,
Amnesia: A Machine for Pigs,thechineseroom,10th Sep 13,PC,,,,,
Amnesia: A Machine for Pigs,thechineseroom,10th Sep 13,Linux,,,,,
Amnesia: Memories,Idea Factory,25th Aug 15,PSV,,,,,
Amnesia: Memories,Idea Factory,25th Aug 15,PC,,,,,
Amnesia: The Dark Descent,Frictional Games,08th Sep 10,PC,,,,,
Amniotic,Antab,24th Oct 09,XBL,,,,,
Amok,Lemon,31st Oct 96,PC,,,,,
Amok,Lemon,17th Jan 97,SAT,,,,,
Among The Sleep,Krillbite Studio,29th May 14,OSX,,,,,
Amphibian Man,KDV Games,31st Dec 20,PS3,,,,,
Amplitude (2016),Harmonix Music Systems,05th Jan 16,PS4,,,,,
Amsterdoom,Davilex,,PC,,,,,
AMY,VectorCell,17th Jan 12,PSN,,,,,
AMY,VectorCell,11th Jan 12,XBL,,,,,
AMY,VectorCell,31st Dec 20,PC,,,,,
Amy's Fantasies,C's Ware,01st Jan 96,PC,,,,,
An Elder Scrolls Legend: Battlespire,Bethesda Softworks,30th Nov 97,PC,,,,,
An Elder Scrolls Legend: Battlespire,Bethesda Softworks LLC,,PC,,,,,
Anacreon: Reconstruction 4021,Thinking Machine Associates,01st Jan 87,PC,,,,,
Anan Kanshuu: Onna Dikara Kinkyuu Up! DS,Suzak,26th Jul 07,DS,,,,,
Anarchy Online,Funcom,26th Jan 01,PC,,,,,
Anarchy Online: Alien Invasion,Funcom,31st Aug 04,PC,,,,,
Anarchy Online: Lost Eden,Funcom,14th Dec 06,PC,,,,,
Anarchy Online: Shadowlands,Funcom,08th Sep 03,PC,,,,,
Anarchy Online: The Notum Wars,Funcom,23rd Nov 02,PC,,,,,
Anarchy: Rush Hour,Gaijin Entertainment,25th Mar 10,PSN,,,,,
Anastasia,The Code Monkeys,06th Apr 01,PS,,,,,
Anata no Kyuu o Check Kanken Mini Test,IE Institute,22nd Dec 10,DSiW,,,,,
Anata o Yurusanai,Zener Works / Cavia Inc.,15th Nov 07,PSP,,,,,
Anaume Puzzle Game Q,SilverStarJapan,07th Jun 11,DSiW,,,,,
Anchorz Field,Sammy Studios,24th Jun 99,WS,,,,,
Ancient Conquest,Ellipse Studios,01st Jan 99,PC,,,,,
Ancient Domains of Mystery,Thomas Biskup,01st Jan 94,PC,,,,,
Ancient Game Treasures: Mill,G1M2,15th Mar 11,PSN,,,,,
Ancient Land of Ys,Unlimited Software Inc.,01st Jan 89,PC,,,,,
Ancient Roman: Power of Dark Side,Nihon Systems,23rd Apr 98,PS,,,,,
Ancient Trader,Fourkidsgames,27th Jun 10,XBL,,,,,
Ancient Trader,Fourkidsgames,27th Jun 10,PC,,,,,
Ancient Tribe,CIRCLE Entertainment,28th Jun 10,DSiW,,,,,
Ancients of Ooga,NinjaBee / Bacon Wrapped Games,30th Jun 10,XBL,,,,,
Ancients of Ooga,NinjaBee / Bacon Wrapped Games,30th Jun 10,PC,,,,,
Ancients of Ooga - The Forgotten Chapters,NinjaBee / Bacon Wrapped Games,18th May 11,XBL,,,,,
Ancients of Ooga - The Forgotten Chapters,NinjaBee / Bacon Wrapped Games,18th May 11,PC,,,,,
And Yet It Moves,Broken Rules,23rd Aug 10,WW,,,,,
And-Kensaku,Nintendo / Shift,29th Apr 10,Wii,,,,,
Andre Agassi Tennis,TecMagik,01st Jan 92,GEN,,,,,
Andre Agassi Tennis,TecMagik,01st Jan 93,GG,,,,,
Andre Agassi Tennis,TecMagik,01st Jan 93,MS,,,,,
Andre Agassi Tennis,Radiance,01st Jan 94,SNES,,,,,
Andre Panza Kick Boxing,Loriciel,01st Jan 91,PCE,,,,,
Andretti Racing,Press Start Inc./ High Score Productions,17th Nov 97,SAT,,,,,
Andretti Racing,Stormfront Studios,30th Nov 97,PC,,,,,
Andro Dunos,Visco,17th Jul 92,NG,,,,,
Android Assault,Human Entertainment,01st Jan 94,SCD,,,,,
Andromeda Conquest,Avalon Hill,01st Jan 82,PC,,,,,
Andromium,MikeVentron,12th Aug 11,XBL,,,,,
Anejoku,Hina Soft,08th Jul 11,PC,,,,,
Angband,Andrew Sidwell,06th Aug 96,PC,,,,,
Angel Blade,Digianime Corp,04th Oct 02,PC,,,,,
Angel Collection: Mezase! Gakuen no Fashion Leader,MTO,18th Apr 03,GBA,,,,,
Angel Eyes,Tecmo,11th Dec 97,PS,,,,,
Angel Fish,Fathammer,,GIZ,,,,,
Angel Graffiti: Anathe no Profile,Coconuts Japan,26th Jul 96,PS,,,,,
Angel Halo,Active,17th Oct 96,PC,,,,,
Angel Love Online,UserJoy Technology,25th Sep 08,PSN,,,,,
Angel Love Online,UserJoy Technology,07th Jul 11,PS3,,,,,
Angel Parasite,Loveless,31st Jul 98,PC,,,,,
Angel Present,NEC Interchannel,12th Apr 01,DC,,,,,
Angel Senki,Q Entertainment,16th Sep 09,PSN,,,,,
Angel Senki,Q Entertainment,07th Jul 11,PS3,,,,,
Angel Wish,Pione Soft,24th Feb 05,DC,,,,,
Angel's Feather,KID Corporation,11th Mar 04,PS2,,,,,
Angel's Feather,Studio e-go,25th Apr 03,PC,,,,,
Angel's Feather: Kohaku no Hitomi,Studio e-go,29th Jul 05,PC,,,,,
Angel's Feather: Kuro no Zanei,GN Software,30th Jun 05,PS2,,,,,
Angelic Concert,Success,13th Mar 03,PS2,,,,,
Angelic Concert,Success,13th Mar 03,XB,,,,,
Angelique,Koei,21st Mar 02,GBA,,,,,
Angelique Duet,Koei,06th Apr 06,DS,,,,,
Angelique Duet,Koei,30th Jul 98,SAT,,,,,
Angelique Etoile,Koei,16th Sep 04,PS2,,,,,
Angelique History,Koei,30th Mar 00,PS,,,,,
Angelique Special,Koei,29th Mar 96,PS,,,,,
Angelique Special,Koei,22nd Dec 95,PCFX,,,,,
Angelique Special,Koei,29th Mar 96,SAT,,,,,
Angelique Special,Koei,01st Jan 96,PC,,,,,
Angelique Special 2,Koei,11th Apr 97,PS,,,,,
Angelique Special 2,Koei,06th Dec 96,PCFX,,,,,
Angelique Special 2,Koei,04th Apr 97,SAT,,,,,
Angelique Tenkuu no Requiem,Koei,04th Feb 99,PS,,,,,
Angelique Tenkuu no Requiem,Koei,02nd Apr 98,PCFX,,,,,
Angelique Trois: Aizouhen,Koei/Inis,26th Jul 01,PS2,,,,,
Angelium: Tokimeki Love God,Terios,14th Mar 03,PC,,,,,
Angels Online,UserJoy Technology,01st Jan 07,PC,,,,,
Angle of Attack,3000AD,10th Aug 09,PC,,,,,
Angolmois '99,Success,26th Aug 99,PS,,,,,
Angry Barry,arrogancy,29th May 09,XBL,,,,,
Angry Birds,Chillingo,31st Dec 20,DSiW,,,,,
Angry Birds,Abstraction Games,04th Jan 11,PSN,,,,,
Angry Birds,Chillingo,31st Dec 20,WW,,,,,
Angry Birds,Unknown,15th Oct 10,And,,,,,
Angry Birds,Unknown,29th Jun 11,WinP,,,,,
Angry Birds,Rovio Mobile,25th Sep 12,X360,,,,,
Angry Birds,Exient Entertainment,15th Oct 13,PSV,,,,,
Angry Birds,Unknown,25th Sep 12,3DS,,,,,
Angry Birds,FUN Labs,13th Aug 13,WiiU,,,,,
Angry Birds,Unknown,15th Oct 13,PSP,,,,,
Angry Birds Epic,Unknown,01st Jan 15,And,,,,,
Angry Birds Epic,Unknown,01st Jul 14,WinP,,,,,
Angry Birds Free,Unknown,04th Nov 10,BRW,,,,,
Angry Birds Go,Unknown,11th Dec 13,And,,,,,
Angry Birds HD,Unknown,05th Mar 09,DS,,,,,
Angry Birds Space,Rovio Mobile,10th May 12,PC,,,,,
Angry Birds Star Wars II,Unknown,19th Sep 13,And,,,,,
Angry Birds Transformers,Exient Entertainment,01st Jan 15,WinP,,,,,
Angry Birds Transformers,Exient Entertainment,30th Oct 14,And,,,,,
Angry Birds: Star Wars,Unknown,08th Nov 12,And,,,,,
Angry Birds: Star Wars,Unknown,08th Nov 12,WinP,,,,,
Angry Bunnies,Unknown,31st Oct 13,3DS,,,,,
Angry FireBalls,Unknown,29th Apr 13,And,,,,,
Angry FireBalls,Unknown,14th Nov 11,OSX,,,,,
Angry FireBalls,Unknown,14th Nov 11,PC,,,,,
Angry Fish,Frozen Software,16th Sep 11,XBL,,,,,
Angry Kittens Attack,Unknown,22nd Apr 14,PC,,,,,
Angry Kittens Attack,Unknown,22nd Apr 14,OSX,,,,,
Angry Video Game Nerd Adventures,Unknown,,3DS,,,,,
Angry Video Game Nerd Adventures,Freakzone Games,,WiiU,,,,,
Anima: Ark of Sinners,Anima Games Studio,27th Oct 11,WW,,,,,
Animal Boxing,Akaoni Studio,02nd Dec 08,DSiW,,,,,
Animal Boxing,Akaoni Studio,17th Jan 11,DSi,,,,,
Animal Boyfriend,Ambition,16th Jul 14,And,,,,,
Animal Breeder,J-Wing,11th Sep 97,GB,,,,,
Animal Breeder 2,J-Wing,15th May 98,GB,,,,,
Animal Breeder 3,J-Wing,24th Jun 99,GB,,,,,
Animal Breeder 4,J-Wing,01st Jan 01,GB,,,,,
Animal Color Cross,Little Worlds Studio,28th Jun 10,DSiW,,,,,
Animal Crossing Calculator,Nintendo,04th May 09,DSiW,,,,,
Animal Crossing Clock,Nintendo,04th May 09,DSiW,,,,,
Animal Football,Phoenix Games,27th Jun 03,PS,,,,,
Animal Forest,Nintendo EAD,,iQue,,,,,
Animal Mania: Doki*Doki Aishou Check,Jupiter Multimedia,31st Jan 02,GBA,,,,,
Animal Paradise Wild,Rekoo,06th Oct 09,DS,,,,,
Animal Planet: Pet Vet,Activision,15th Sep 09,DS,,,,,
Animal Puzzle Adventure,CIRCLE Entertainment,04th Jan 10,DSiW,,,,,
Animal Snap: Rescue Them 2 By 2,"Awesome Developments, Ltd.",19th Sep 03,PS,,,,,
Animal Yokochou: Doki*Doki Kyuushutsu Daisakusen! no Maki,Konami,22nd Dec 05,GBA,,,,,
Animal Yokochou: Doki*Doki Shinkyuu Shiken! no Kan,Konami,18th May 06,GBA,,,,,
Animales de la Muerte,High Voltage Software,,PC,,,,,
Animales de la Muerte,High Voltage Software,,PSN,,,,,
Animales de la Muerte,High Voltage Software,,XBL,,,,,
Animamundi: Dark Alchemist,Karin Entertainment,01st May 06,PC,,,,,
Animaniacs,Konami,01st Nov 94,SNES,,,,,
Animaniacs,Konami,14th May 94,GEN,,,,,
Animaniacs,Factor 5,01st Jul 95,GB,,,,,
Animaniacs Game Pack!,Funnybone Entertainment,31st Dec 97,PC,,,,,
Animaniacs Splat Ball,SouthPeak Games,01st Jan 99,PC,,,,,
Animaniacs: A Gigantic Adventure,SouthPeak Games,01st Jan 99,PC,,,,,
"Animaniacs: Lights, Camera, Action!",Ignition Entertainment - Warthog,12th Aug 05,GBA,,,,,
"Animaniacs: Lights, Camera, Action!",Warthog,13th Nov 05,GBA,,,,,
Animaniacs: The Great Edgar Hunt,Warthog,,PS2,,,,,
Animaniacs: The Great Edgar Hunt,Warthog,29th Aug 05,XB,,,,,
Animas Online,Unknown,26th May 14,And,,,,,
Animastar,Aki Corporation,15th Jun 00,DC,,,,,
Animastar GB,Aki Corporation,30th Mar 01,GB,,,,,
Anime Chick Story 1: Card Captor Sakura,Arika,05th Aug 99,PS,,,,,
Anime Eikaiwa: 15 Shounen Hyouryuuhen,Success,30th Aug 01,PS2,,,,,
Anime Eikaiwa: Tondemo Nezumi Daikatsuyaku,Success,30th Aug 01,PS2,,,,,
Anime Eikaiwa: Totoi,Success,30th Aug 01,PS2,,,,,
Anime Freak FX Vol. 1,NEC Interchannel,12th Aug 95,PCFX,,,,,
Anime Freak FX Vol. 2,NEC Interchannel,22nd Dec 95,PCFX,,,,,
Anime Freak FX Vol. 3,NEC Interchannel,05th Apr 96,PCFX,,,,,
Anime Freak FX Vol. 4,NEC Interchannel,28th Feb 97,PCFX,,,,,
Anime Freak FX Vol. 5,NEC Interchannel,29th Aug 97,PCFX,,,,,
Anime Freak FX Vol. 6,NEC Interchannel,27th Feb 98,PCFX,,,,,
Animorphs,Ubisoft,07th Nov 00,GB,,,,,
Ankh: Battle of the Gods,DECK13 Interactive,19th Nov 07,PC,,,,,
Ankh: Curse of the Scarab King,VIS Entertainment,17th Sep 08,DS,,,,,
Ankh: Heart of Osiris,DECK13 Interactive,06th Nov 06,PC,,,,,
Ankh: Tutankhamen no Nazo,Unknown,27th Nov 97,PS,,,,,
Ankoku Shinwa: Yamato Takeru Densetsu,Zap,24th Mar 89,NES,,,,,
Anna Kournikova's Smash Court Tennis,Namco,18th Jun 99,PS,,,,,
Anne's Doll Studio,Starfish,26th Jun 14,DS,,,,,
Annecto,oh-four-hundred,04th Aug 11,XBL,,,,,
Annet Futatabi,Wolf Team,30th Mar 93,SCD,,,,,
"Anno 1503: Treasures, Monsters & Pirates",Sunflower Studios,21st May 04,PC,,,,,
Anno 1701: The Sunken Dragon Expansion,Related Designs,25th Oct 07,PC,,,,,
Ano Tameni ni Watashi ga Dekiru Koto,softhouse-seal,29th Jul 11,PC,,,,,
Anodyne,Analgesic Productions,16th Jun 13,iOS,,,,,
Anodyne,Analgesic Productions,04th Feb 13,OSX,,,,,
Anodyne,Analgesic Productions,04th Feb 13,Linux,,,,,
Anodyne,Analgesic Productions,15th Oct 13,And,,,,,
Anoko Doko Noko,Success,06th Aug 98,PS,,,,,
Anoko Doko Noko,Success,11th Aug 10,PSN,,,,,
Anomaly 2,Unknown,14th Nov 13,And,,,,,
Anomaly 2,Unknown,15th May 13,Linux,,,,,
Anomaly 2,Unknown,06th Jun 13,OSX,,,,,
Anomaly 2,Unknown,16th Sep 14,PS4,,,,,
Anomaly Korea,Unknown,06th Nov 13,Linux,,,,,
Anomaly Korea,Unknown,06th Nov 13,OSX,,,,,
Anomaly Korea,Unknown,06th Nov 13,PC,,,,,
Anomaly Korea,Unknown,20th Dec 12,And,,,,,
Anomaly: Warzone Earth,Unknown,06th Apr 11,OSX,,,,,
Anomaly: Warzone Earth,Unknown,06th Apr 12,X360,,,,,
Anomaly: Warzone Earth,Unknown,26th Jan 12,And,,,,,
Anomaly: Warzone Earth,Unknown,08th Apr 11,Linux,,,,,
Anomaly: Warzone Earth,Unknown,11th Sep 12,PS3,,,,,
Anonymous Notes Chapter 1: From the Abyss,Sonic Powered,04th Apr 11,DSiW,,,,,
Anonymous Notes Chapter 2: From the Abyss,Sonic Powered,02nd May 11,DSiW,,,,,
Anonymous Notes Chapter 3: From The Abyss,Unknown,,3DS,,,,,
Anonymous Notes Chapter 3: From The Abyss,Unknown,,DSi,,,,,
ANONYMOUS NOTES CHAPTER 4 - FROM THE ABYSS,Unknown,,DSi,,,,,
Another Bible,Atlus Co.,03rd Mar 95,GB,,,,,
Another Heaven: Memory of Those Days,Omega Micott,21st Dec 00,WS,,,,,
Another Memories,Unknown,18th Jun 98,PS,,,,,
Another Mind,SquareSoft,12th Nov 98,PS,,,,,
Another Perspective,Unknown,08th Aug 14,PC,,,,,
Another World,DotEmu,01st Jan 16,XOne,,,,,
Another World,DotEmu,18th Sep 14,PC,,,,,
Another World,DotEmu,01st Jan 16,PS4,,,,,
Anpanman to Asobu: Aiueo Kyoushitsu DX,Agatsuma Entertainment,17th Dec 09,DS,,,,,
Anpanpan to Asobo: Aiueo Kyoushitsu,Agatsuma Entertainment,07th Dec 06,DS,,,,,
Anstoss,Ascon GmbH,01st Jan 93,PC,,,,,
Anstoss 2,Ascaron Entertainment,01st Jan 97,PC,,,,,
Anstoss 2 Gold,Ascaron Entertainment,01st Jan 98,PC,,,,,
Anstoss 2005,Ascaron,28th Oct 04,PC,,,,,
Anstoss 2007,Ascaron,10th Aug 06,PC,,,,,
Anstoss 3,Ascaron,01st Jul 00,PC,,,,,
Anstoss Action,Ascaron Entertainment,01st Jan 01,PC,,,,,
Ant Nation,Konami,13th Jul 09,WW,,,,,
Ante Up: Texas Hold'em,MonkeyPaw Games,24th Jan 11,DSiW,,,,,
Anteater,Stern,01st Jan 82,2600,,,,,
Anthem,BioWare Corp.,22nd Feb 19,PS4,,,,,
Anthem,BioWare Corp.,22nd Feb 19,XOne,,,,,
Anthem,BioWare Corp.,22nd Feb 19,PC,,,,,
Anticipation,Rare Ltd.,01st Nov 88,NES,,,,,
Antigrav Racing Championship,R3dDr4g0n,04th Nov 09,XBL,,,,,
Antipole,Saturnine Games,,DSiW,,,,,
Antipole,Saturnine Games,21st Jan 11,XBL,,,,,
Antique Road Trip 2: Homecoming,Unknown,19th Apr 11,OSX,,,,,
Antique Road Trip 2: Homecoming,Unknown,19th Apr 11,PC,,,,,
Antique Road Trip: American Dreamin',Unknown,25th Sep 13,PC,,,,,
Antique Road Trip: USA,Unknown,28th Sep 13,And,,,,,
Antique Road Trip: USA,Unknown,03rd May 10,OSX,,,,,
Antique Road Trip: USA,Unknown,03rd May 10,PC,,,,,
Antiquia Lost,Exe Create Inc.,04th Aug 16,And,,,,,
Antz,CLCE & Planet,01st Oct 99,GB,,,,,
Antz Extreme Racing,Supersonic Software,28th Aug 02,PC,,,,,
Antz Racing,RFX Interactive,01st Jun 01,GB,,,,,
Antz World Sportz,M4 Limited,01st Jan 01,GB,,,,,
Anubis II,Unknown,08th Jul 05,PC,,,,,
Anubis II,Unknown,14th Jul 05,PS2,,,,,
Anvil of Dawn,DreamForge,31st Oct 95,PC,,,,,
Anyo Haseyo! Korean Word Puzzle,I.E. Institute,14th Jul 10,DSiW,,,,,
Ao no 6-gou: Antarctica,Unknown,28th Sep 00,PS,,,,,
Ao Zora to Nakama Tachi - Yume no Bouken,MTO,13th Nov 03,PS,,,,,
Ao Zora to Nakama Tachi - Yume no Bouken,MTO,13th Dec 02,GBA,,,,,
Ao-Don DS: Hanabi no Goku & Hanabi no Takumi,Commseed,17th Jun 10,DS,,,,,
Aoi Blink,West One,27th Apr 90,PCE,,,,,
Aoi Hagane no Kihei: Space Griffon,Panther Software,03rd Nov 99,DC,,,,,
Aoi Namida,Panther Software,27th May 04,XB,,,,,
Aoi Namida,CD Bros.,30th May 03,PC,,,,,
Aoishiro,Success,21st Nov 08,PC,,,,,
Aoki Ookami to Shiroki Meshika: Genchou Hishi,iNiS,17th Sep 98,PS,,,,,
Aoki Ookami to Shiroki Meshika: Genchou Hishi,Koei,24th Sep 93,SCD,,,,,
Aoki Ookami to Shiroki Meshika: Genchou Hishi,Koei,25th Mar 93,NES,,,,,
Aoki Ookami to Shiroki Meshika: Genchou Hishi,Koei,30th Sep 93,PCE,,,,,
Apache,Digital Integration,31st Jul 95,PC,,,,,
Apache AH-64: Air Assault,InterActive Vision Games,12th Feb 03,PC,,,,,
Apache Longbow Assault,InterActive Vision Games,05th Feb 04,PC,,,,,
Apache Overkill,Playerthree Limited,05th Oct 10,PSN,,,,,
Apache: Air Assault,Gaijin Entertainment,29th Nov 11,XBL,,,,,
Apassionata: Die Galanacht der Pferde,RTL Multimedia,02nd Nov 09,PC,,,,,
Apathy: Narugami Gakuen Toshi Densetsu Tantei Kyoku,Del,25th Oct 07,DS,,,,,
Ape Academy 2,Shift,11th Jun 09,PSN,,,,,
Ape Escape 2,SIE Japan Studio,02nd Aug 16,PS4,,,,,
Ape Escape Academy,Shift,09th Apr 09,PSN,,,,,
Ape Escape: On the Loose,SIMS,05th Mar 08,PSN,,,,,
Ape Quest,Shift,10th Jan 08,PSN,,,,,
Apex,Riddlersoft,07th Sep 11,XBL,,,,,
Aphelion,lunatic studios,,XBL,,,,,
Aphelion 2,lunatic studios,,XBL,,,,,
Aphelion Episode One: Graves of Earth,lunatic studios,08th Jul 10,XBL,,,,,
Aphelion Episode Two: Wings of Omega,lunatic studios,19th Dec 10,XBL,,,,,
Apocalypse: Desire Next,Neverland,29th Nov 07,X360,,,,,
Apocalypse: Deus Ex Machina,Unknown,25th Jul 03,PC,,,,,
Apocalyptica,Extreme FX,09th Apr 04,PC,,,,,
Apocripha/0,GN Software,28th Oct 04,PS2,,,,,
Apocripha/0,Stack,27th Jul 01,PC,,,,,
Apotheon,AlienTrap Games,01st Jan 15,PS4,,,,,
Apotheon,Unknown,03rd Feb 15,PC,,,,,
Apotheon,Unknown,03rd Feb 15,Linux,,,,,
Apotheon,Unknown,03rd Feb 15,OSX,,,,,
Appare! Gateball,West One,22nd Dec 88,PCE,,,,,
Appare! Gateball,West One,24th Jul 07,VC,,,,,
Appare! Shogi Jiisan,Arioka,24th Nov 05,DS,,,,,
Applemint Works: Shimai & Tenshi Pack,appleC.C.,29th Jul 11,PC,,,,,
Appleseed,Visit,26th Aug 94,SNES,,,,,
Appleseed EX,DreamFactory,15th Feb 07,PS2,,,,,
Appointment with F.E.A.R.,Tin Man Games,26th Aug 14,And,,,,,
Aqua,Games Distillery,19th May 10,XBL,,,,,
Aqua GT,Take-Two Interactive,26th Jan 01,PS,,,,,
Aqua GT,East Point Software LTD,22nd Dec 00,DC,,,,,
Aqua Moto Racing Utopia,Zordix AB,19th Apr 18,WiiU,,,,,
Aqua Panic!,EKO System,19th Oct 10,PSN,,,,,
Aqua Panic! (PSP),EKO System,08th Apr 10,PSN,,,,,
Aqua Panic! Oasis,EKO System,,PSN,,,,,
Aqua Paradise: Boku no Suizokukan,Victor Interactive,28th Dec 00,PS,,,,,
Aqua World: Umibi Monogatari,Mizuki,13th Oct 95,3DO,,,,,
Aqua World: Umibi Monogatari,Mashita,12th Jul 96,SAT,,,,,
AquaLife,Tamsoft,22nd Oct 99,GB,,,,,
Aquanaut no Kyuujitsu 2,ArtDink,01st Jul 99,PS,,,,,
Aquanaut no Kyuujitsu: Memories of Summer 1996,ArtDink,19th Jul 96,PS,,,,,
AquaNox,Massive Development,19th Nov 01,PC,,,,,
AquaNox 2: Revelation,Massive Development,22nd Aug 03,PC,,,,,
AquaPazza: AquaPlus Dream Match,Unknown,22nd Jun 11,Arc,,,,,
Aquarian Age: Tokyo Wars,Broccoli,25th May 00,PS,,,,,
Aquarium HD,reedake2,23rd Feb 09,XBL,,,,,
Aquarium with Clock,LukPlus,24th Feb 10,DSiW,,,,,
AquaSpace,Paon Corporation,19th Jul 10,WW,,,,,
Aquatic Tales,Gameinvest,31st Dec 00,Wii,,,,,
